iter	Passed	Remaining
417	4041	5627
418	4052	5619
419	4064	5613
420	4077	5607
421	4088	5600
422	4101	5594
423	4116	5592
424	4127	5584
425	4139	5577
426	4150	5570
427	4161	5562
428	4173	5554
429	4183	5545
430	4197	5540
431	4210	5536
432	4229	5537
433	4246	5538
434	4263	5537
435	4279	5536
436	4298	5537
437	4314	5535
438	4327	5530
439	4341	5525
440	4359	5525
441	4372	5520
442	4386	5515
443	4402	5513
444	4416	5508
445	4431	5504
446	4441	5495
447	4453	5486
448	4465	5480
449	4476	5471
450	4488	5464
451	4499	5455
452	4509	5445
453	4526	5444
454	4537	5435
455	4548	5426
456	4558	5415
457	4568	5406
458	4579	5397
459	4591	5389
460	4600	5379
461	4613	5372
462	4625	5364
463	4635	5354
464	4646	5346
465	4657	5337
466	4667	5326
467	4676	5316
468	4687	5307
469	4697	5296
470	4712	5292
471	4723	5283
472	4731	5271
473	4741	5261
474	4750	5250
475	4759	5239
476	4769	5229
477	4778	5218
478	4787	5207
479	4797	5197
480	4805	5185
481	4816	5176
482	4826	5166
483	4836	5155
484	4849	5149
485	4858	5138
486	4867	5127
487	4879	5119
488	4890	5110
489	4900	5100
490	4908	5088
491	4917	5077
492	4926	5066
493	4935	5055
494	4943	5043
495	4952	5032
496	4962	5022
497	4974	5014
498	4983	5003
499	4992	4992
500	5003	4983
501	5011	4971
502	5020	4960
503	5028	4949
504	5040	4940
505	5052	4932
506	5064	4924
507	5078	4918
508	5088	4908
509	5098	4898
510	5109	4889
511	5120	4880
512	5131	4871
513	5143	4863
514	5152	4852
515	5162	4842
516	5173	4833
517	5184	4824
518	5197	4817
519	5208	4807
520	5221	4800
521	5233	4792
522	5248	4786
523	5257	4776
524	5270	4768
525	5279	4757
526	5289	4747
527	5301	4739
528	5314	4732
529	5324	4721
530	5338	4715
531	5351	4707
532	5363	4699
533	5375	4690
534	5385	4681
535	5396	4671
536	5406	4661
537	5415	4650
538	5424	4639
539	5433	4628
540	5444	4619
541	5454	4609
542	5464	4598
543	5474	4588
544	5482	4577
545	5492	4567
546	5501	4556
547	5512	4546
548	5524	4538
549	5537	4530
550	5548	4521
551	5559	4512
552	5570	4502
553	5578	4490
554	5589	4481
555	5601	4473
556	5611	4462
557	5621	4453
558	5632	4443
559	5642	4433
560	5654	4424
561	5663	4413
562	5673	4403
563	5686	4396
564	5700	4389
565	5709	4378
566	5720	4368
567	5734	4361
568	5750	4356
569	5759	4344
570	5769	4334
571	5780	4324
572	5790	4315
573	5801	4305
574	5812	4296
575	5822	4285
576	5830	4274
577	5841	4264
578	5849	4253
579	5860	4243
580	5868	4232
581	5880	4223
582	5892	4215
583	5901	4203
584	5913	4194
585	5924	4185
586	5934	4175
587	5945	4165
588	5957	4157
589	5967	4146
590	5976	4135
591	5985	4124
592	5994	4114
593	6005	4104
594	6015	4094
595	6025	4084
596	6038	4076
597	6047	4065
598	6057	4055
599	6067	4045
600	6076	4033
601	6086	4023
602	6095	4013
603	6105	4002
604	6114	3992
605	6122	3980
606	6133	3971
607	6141	3959
608	6152	3950
609	6164	3941
610	6174	3931
611	6184	3920
612	6194	3910
613	6203	3899
614	6213	3889
615	6222	3878
616	6233	3869
617	6243	3859
618	6252	3848
619	6266	3840
620	6281	3833
621	6295	3825
622	6306	3816
623	6320	3808
624	6330	3798
625	6341	3788
626	6349	3777
627	6359	3767
628	6370	3757
629	6381	3747
630	6392	3738
631	6401	3727
632	6410	3716
633	6421	3706
634	6429	3695
635	6440	3686
636	6450	3675
637	6458	3664
638	6469	3654
639	6478	3644
640	6488	3633
641	6498	3623
642	6510	3614
643	6520	3604
644	6531	3594
645	6542	3584
646	6553	3575
647	6568	3568
648	6581	3559
649	6592	3549
650	6602	3539
651	6613	3530
652	6623	3519
653	6633	3509
654	6650	3503
655	6662	3494
656	6674	3484
657	6686	3475
658	6699	3466
659	6710	3456
660	6718	3445
661	6731	3436
662	6743	3427
663	6756	3418
664	6765	3408
665	6780	3400
666	6793	3391
667	6805	3382
668	6815	3371
669	6826	3362
670	6839	3353
671	6850	3343
672	6862	3334
673	6877	3326
674	6894	3319
675	6909	3311
676	6925	3304
677	6936	3294
678	6949	3285
679	6958	3274
680	6970	3265
681	6983	3256
682	6993	3246
683	7004	3236
684	7017	3227
685	7027	3216
686	7038	3206
687	7051	3197
688	7066	3189
689	7078	3180
690	7088	3169
691	7101	3160
692	7115	3152
693	7127	3142
694	7139	3133
695	7148	3122
696	7158	3111
697	7166	3100
698	7175	3089
699	7184	3079
700	7196	3069
701	7208	3059
702	7218	3049
703	7228	3039
704	7239	3029
705	7251	3019
706	7263	3010
707	7275	3000
708	7284	2989
709	7294	2979
710	7307	2970
711	7320	2961
712	7329	2950
713	7341	2940
714	7354	2931
715	7365	2921
716	7375	2910
717	7388	2901
718	7399	2891
719	7409	2881
720	7420	2871
721	7430	2860
722	7439	2850
723	7449	2839
724	7457	2828
725	7469	2819
726	7479	2808
727	7490	2798
728	7502	2789
729	7517	2780
730	7528	2770
731	7537	2759
732	7551	2750
733	7563	2741
734	7575	2731
735	7585	2720
736	7599	2712
737	7613	2702
738	7632	2695
739	7649	2687
740	7660	2677
741	7670	2666
742	7679	2656
743	7689	2645
744	7699	2635
745	7712	2626
746	7724	2616
747	7732	2605
748	7745	2595
749	7756	2585
750	7765	2574
751	7775	2564
752	7787	2554
753	7797	2544
754	7807	2533
755	7816	2522
756	7825	2512
757	7835	2501
758	7844	2490
759	7854	2480
760	7863	2469
761	7871	2458
762	7881	2448
763	7889	2437
764	7899	2426
765	7907	2415
766	7920	2406
767	7934	2396
768	7942	2385
769	7952	2375
770	7962	2365
771	7971	2354
772	7980	2343
773	7990	2333
774	7997	2321
775	8005	2310
776	8013	2299
777	8023	2289
778	8031	2278
779	8040	2267
780	8048	2256
781	8061	2247
782	8071	2236
783	8079	2226
784	8092	2216
785	8102	2206
786	8113	2195
787	8124	2185
788	8132	2174
789	8143	2164
790	8154	2154
791	8162	2143
792	8172	2133
793	8179	2122
794	8191	2112
795	8201	2101
796	8208	2090
797	8217	2080
798	8227	2069
799	8237	2059
800	8244	2048
801	8253	2037
802	8261	2026
803	8269	2015
804	8276	2004
805	8284	1994
806	8294	1983
807	8302	1972
808	8310	1962
809	8318	1951
810	8325	1940
811	8333	1929
812	8341	1918
813	8351	1908
814	8362	1898
815	8373	1888
816	8382	1877
817	8390	1866
818	8398	1856
819	8408	1845
820	8416	1834
821	8427	1824
822	8437	1814
823	8446	1804
824	8455	1793
825	8463	1782
826	8474	1772
827	8482	1761
828	8492	1751
829	8500	1741
830	8512	1731
831	8522	1720
832	8530	1710
833	8540	1699
834	8548	1689
835	8560	1679
836	8572	1669
837	8580	1658
838	8590	1648
839	8601	1638
840	8611	1628
841	8621	1617
842	8631	1607
843	8643	1597
844	8655	1587
845	8665	1577
846	8674	1566
847	8686	1557
848	8697	1546
849	8705	1536
850	8717	1526
851	8726	1515
852	8735	1505
853	8745	1495
854	8755	1484
855	8764	1474
856	8772	1463
857	8781	1453
858	8788	1442
859	8799	1432
860	8809	1422
861	8818	1411
862	8828	1401
863	8839	1391
864	8851	1381
865	8860	1371
866	8870	1360
867	8882	1350
868	8896	1341
869	8907	1330
870	8917	1320
871	8929	1310
872	8941	1300
873	8954	1290
874	8969	1281
875	8977	1270
876	8989	1260
877	8998	1250
878	9006	1239
879	9019	1229
880	9027	1219
881	9036	1208
882	9044	1198
883	9054	1188
884	9063	1177
885	9071	1167
886	9079	1156
887	9088	1146
888	9095	1135
889	9103	1125
890	9113	1114
891	9121	1104
892	9134	1094
893	9145	1084
894	9153	1073
895	9166	1063
896	9178	1053
897	9186	1043
898	9197	1033
899	9207	1023
900	9217	1012
901	9227	1002
902	9235	992
903	9244	981
904	9253	971
905	9262	961
906	9271	950
907	9280	940
908	9290	930
909	9298	919
910	9309	909
911	9318	899
912	9327	888
913	9335	878
914	9343	867
915	9352	857
916	9361	847
917	9372	837
918	9381	826
919	9390	816
920	9401	806
921	9409	796
922	9419	785
923	9426	775
924	9436	765
925	9443	754
926	9452	744
927	9470	734
928	9481	724
929	9490	714
930	9502	704
931	9509	693
932	9522	683
933	9533	673
934	9544	663
935	9554	653
936	9565	643
937	9581	633
938	9591	623
939	9601	612
940	9612	602
941	9621	592
942	9631	582
943	9641	571
944	9652	561
945	9665	551
946	9679	541
947	9688	531
948	9697	521
949	9709	511
950	9718	500
951	9727	490
952	9736	480
953	9745	469
954	9756	459
955	9766	449
956	9776	439
957	9791	429
958	9802	419
959	9812	408
960	9824	398
961	9835	388
962	9843	378
963	9852	367
964	9860	357
965	9870	347
966	9879	337
967	9891	326
968	9901	316
969	9909	306
970	9921	296
971	9929	286
972	9938	275
973	9950	265
974	9959	255
975	9970	245
976	9983	235
977	9994	224
978	10004	214
979	10015	204
980	10023	194
981	10033	183
982	10044	173
983	10053	163
984	10064	153
985	10076	143
986	10086	132
987	10099	122
988	10113	112
989	10123	102
990	10136	92
991	10148	81
992	10163	71
993	10176	61
994	10194	51
995	10204	40
996	10213	30
997	10225	20
998	10241	10
999	10254	0
