iter	Logloss
0	0.6800992782
1	0.6672875023
2	0.6542858619
3	0.6423032951
4	0.6310568384
5	0.619024379
6	0.6070728846
7	0.5949408682
8	0.584186324
9	0.5750542714
10	0.5643685692
11	0.5533265324
12	0.54239286
13	0.532450227
14	0.5225694482
15	0.5134315957
16	0.504832989
17	0.4951672143
18	0.4862958551
19	0.477450402
20	0.469428378
21	0.4618472981
22	0.4548390139
23	0.4467055068
24	0.4387969466
25	0.4318145629
26	0.4249920341
27	0.4178956513
28	0.4114013743
29	0.4044988337
30	0.3975769154
31	0.3910381066
32	0.3839318688
33	0.3772534608
34	0.3708819714
35	0.3645765705
36	0.3591128772
37	0.3535990019
38	0.3483025867
39	0.3430866296
40	0.3379000856
41	0.3327858517
42	0.3274013498
43	0.3224201635
44	0.3174969941
45	0.3130014657
46	0.3084599671
47	0.3040781886
48	0.2997486754
49	0.2952496415
50	0.2919763657
51	0.2878893264
52	0.2837150107
53	0.2798607715
54	0.275650633
55	0.2714975377
56	0.267117196
57	0.2636952318
58	0.260293761
59	0.2577630807
60	0.2543789034
61	0.2505962208
62	0.248111895
63	0.2451311759
64	0.2419258957
65	0.2389827765
66	0.235935184
67	0.232815237
68	0.229967671
69	0.2271932659
70	0.2240373054
71	0.2213043146
72	0.2188939218
73	0.2166343964
74	0.214064631
75	0.2115603385
76	0.2090134055
77	0.2070907301
78	0.2048986272
79	0.2023561568
80	0.1998441477
81	0.1971987192
82	0.1952762566
83	0.1930319323
84	0.1909955751
85	0.1886299651
86	0.1865665056
87	0.1845378508
88	0.1827297468
89	0.1807727106
90	0.1788954414
91	0.1768214133
92	0.1751838297
93	0.1734567375
94	0.1717635724
95	0.1704340197
96	0.1687730891
97	0.1671595082
98	0.1655833528
99	0.163651041
100	0.1619056098
101	0.1601195845
102	0.1584948557
103	0.1568112871
104	0.1553466099
105	0.1537146879
106	0.1522355956
107	0.1507967206
108	0.1495093185
109	0.1483200268
110	0.1465342269
111	0.1452991306
112	0.1443751022
113	0.1430748818
114	0.141698827
115	0.1404904112
116	0.139274648
117	0.1378092061
118	0.137077927
119	0.1361810978
120	0.134830157
121	0.1335489073
122	0.1325250427
123	0.1314166293
124	0.1302712096
125	0.1293395028
126	0.1281257275
127	0.1270028301
128	0.1259786446
129	0.1248398547
130	0.123412285
131	0.1225471519
132	0.121413617
133	0.1202946265
134	0.1193526341
135	0.1181608898
136	0.1171370826
137	0.1159546529
138	0.115127593
139	0.1142557114
140	0.1135471631
141	0.1127674021
142	0.1119645916
143	0.1110836267
144	0.1103914637
145	0.1094663012
146	0.1086917499
147	0.1080006797
148	0.1073319902
149	0.1065516594
150	0.1057240459
151	0.1049946963
152	0.104272416
153	0.1035616933
154	0.1030008757
155	0.1023537295
156	0.1015547543
157	0.1010129958
158	0.1002898656
159	0.09961115289
160	0.09905073325
161	0.09857774724
162	0.09790660765
163	0.09720531496
164	0.09662866663
165	0.0958915344
166	0.09525660371
167	0.09446173685
168	0.09393763676
169	0.09331583682
170	0.09276160295
171	0.09212294909
172	0.09138496751
173	0.09074895754
174	0.09025401755
175	0.08977727888
176	0.08925734588
177	0.08873290028
178	0.08812107062
179	0.08755511235
180	0.08713452339
181	0.08674062847
182	0.08616024516
183	0.08574513881
184	0.08530314232
185	0.0849593419
186	0.08453371305
187	0.08381823721
188	0.08325343096
189	0.08275634848
190	0.08231428632
191	0.08184762627
192	0.08126739726
193	0.08090718055
194	0.0804718704
195	0.08011515812
196	0.07953822595
197	0.07914106438
198	0.07858399842
199	0.07808974216
200	0.07751185535
201	0.07713161002
202	0.07668303557
203	0.07632668053
204	0.07591632212
205	0.07550640983
206	0.07514401531
207	0.07481296459
208	0.07438613465
209	0.07406361113
210	0.07365630158
211	0.07328423353
212	0.0729632892
213	0.07254112216
214	0.07224643935
215	0.07197382302
216	0.07160269066
217	0.07135593757
218	0.07104182807
219	0.07072493631
220	0.07053423359
221	0.07026804808
222	0.06983334114
223	0.06947992207
224	0.06929683278
225	0.06893233923
226	0.06867225252
227	0.06828702032
228	0.06808797851
229	0.0677731602
230	0.06740972512
231	0.06705582515
232	0.06675214674
233	0.06649313749
234	0.06630021538
235	0.06595500182
236	0.06569573435
237	0.06540995092
238	0.06500876441
239	0.06469063456
240	0.0643693884
241	0.06418538699
242	0.06387320844
243	0.06364004456
244	0.06338845206
245	0.06302776508
246	0.06274843304
247	0.06249552295
248	0.06220685926
249	0.06201596118
250	0.06166737893
251	0.06137839431
252	0.06101931139
253	0.06077113856
254	0.06056703304
255	0.06029572083
256	0.05999392818
257	0.05972163177
258	0.05944108713
259	0.05929117137
260	0.05915157323
261	0.05896882489
262	0.0586456061
263	0.05832492983
264	0.0581532456
265	0.05788492704
266	0.05759312994
267	0.05745625823
268	0.05722971858
269	0.05704091782
270	0.05682158623
271	0.05649613438
272	0.05624858994
273	0.05605525419
274	0.05587696029
275	0.05568247189
276	0.0554416097
277	0.05514788452
278	0.05485251527
279	0.05460131695
280	0.05446560926
281	0.05437267707
282	0.05414903599
283	0.05388137538
284	0.05367637417
285	0.05352334318
286	0.05335245382
287	0.05311146019
288	0.05297456064
289	0.05280697563
290	0.05257727626
291	0.05239064532
292	0.05218200797
293	0.05201278735
294	0.05180884032
295	0.05153596597
296	0.05132855534
297	0.05113434218
298	0.05085243821
299	0.05072815162
300	0.05052130318
301	0.05035107748
302	0.05014450843
303	0.04997865693
304	0.04976370341
305	0.04952737791
306	0.04935364078
307	0.04914677918
308	0.04899252743
309	0.04882894474
310	0.04863403746
311	0.04844242564
312	0.04831874124
313	0.04809569201
314	0.0478974679
315	0.04774052234
316	0.04759813658
317	0.04749220391
318	0.04733446928
319	0.04719421215
320	0.04707477814
321	0.04686096955
322	0.04669760177
323	0.04656092812
324	0.04648755281
325	0.04631296788
326	0.04610286175
327	0.04590595147
328	0.04571660427
329	0.04552314126
330	0.04539981708
331	0.04524220103
332	0.04512958525
333	0.04507367723
334	0.04488349647
335	0.0447813289
336	0.04462837393
337	0.0444686524
338	0.04429811569
339	0.04416169177
340	0.0440568454
341	0.04390328262
342	0.04377581609
343	0.0435796125
344	0.0434369962
345	0.04328594172
346	0.04311790937
347	0.04294548412
348	0.04281676867
349	0.04274978733
350	0.04259485229
351	0.04247161125
352	0.04231561169
353	0.04216043403
354	0.04200723675
355	0.04190306753
356	0.04177794779
357	0.04163490779
358	0.04149003947
359	0.04133639283
360	0.04119345224
361	0.04104063125
362	0.04092575948
363	0.040796375
364	0.04063309075
365	0.04050247727
366	0.04036115676
367	0.04019743474
368	0.04004062103
369	0.0399335359
370	0.03978955973
371	0.03967151025
372	0.03956465992
373	0.03945951768
374	0.03931518559
375	0.03918549291
376	0.03913228005
377	0.03901446308
378	0.0388638239
379	0.03876265198
380	0.03861108749
381	0.03847581219
382	0.0383379726
383	0.03823795381
384	0.03819171419
385	0.0380956172
386	0.03800741562
387	0.03788074294
388	0.03782066013
389	0.03768043912
390	0.03760871237
391	0.03752333854
392	0.03741543657
393	0.03728264686
394	0.0372096817
395	0.037084728
396	0.03701591312
397	0.03691370004
398	0.03678381687
399	0.03668480432
400	0.03664856785
401	0.03652621264
402	0.03640123826
403	0.03629932754
404	0.03622178509
405	0.03609784853
406	0.03597055873
407	0.03586117514
408	0.03576682885
409	0.03565028343
410	0.03554627584
411	0.03542874702
412	0.03533339472
413	0.03524506475
414	0.03515795644
415	0.03504415832
416	0.0349475596
417	0.03483541957
418	0.03474015919
419	0.0346598392
420	0.03458842283
421	0.03447928552
422	0.03438921242
423	0.03434395597
424	0.03424970234
425	0.03418872129
426	0.03405718736
427	0.03397154914
428	0.03390833028
429	0.03383834612
430	0.03374245013
431	0.03367763892
432	0.03358598011
433	0.03346565362
434	0.0333575051
435	0.03327750348
436	0.03315719521
437	0.03305713861
438	0.03292088504
439	0.03283361858
440	0.03276027158
441	0.03264212406
442	0.03251868214
443	0.03240968251
444	0.03234695705
445	0.0322773615
446	0.03217875392
447	0.03208504225
448	0.0319971607
449	0.03195633006
450	0.03187245305
451	0.03177238115
452	0.03168456537
453	0.03158127437
454	0.03148933006
455	0.0313942988
456	0.03131416577
457	0.03122766005
458	0.03113578769
459	0.03100341697
460	0.03091149634
461	0.03084030442
462	0.03076093791
463	0.03066715379
464	0.03060834362
465	0.0305223884
466	0.03049545028
467	0.03042503176
468	0.03038119019
469	0.0302986894
470	0.0302461939
471	0.03018364267
472	0.03011688448
473	0.03006382816
474	0.02999961841
475	0.02991090814
476	0.0298775411
477	0.02979399833
478	0.02975630464
479	0.02967529888
480	0.02962082858
481	0.02951780563
482	0.02942473295
483	0.02937721195
484	0.02931470531
485	0.02923068114
486	0.02916970996
487	0.0291055499
488	0.02903886801
489	0.02896671493
490	0.02889037791
491	0.02882433405
492	0.02874868268
493	0.02867729802
494	0.02859100857
495	0.0285124671
496	0.0284617907
497	0.02839742942
498	0.0283348282
499	0.02823223396
500	0.02816164921
501	0.02811223868
502	0.02802723414
503	0.02795469261
504	0.02787261588
505	0.02779142712
506	0.02773390379
507	0.02768784139
508	0.02764585239
509	0.02760511261
510	0.02751006109
511	0.02747319113
512	0.02739334607
513	0.02733709914
514	0.02727687344
515	0.02720917616
516	0.02714470947
517	0.02709738154
518	0.02703517165
519	0.02699307619
520	0.02692147905
521	0.02685747191
522	0.02678253661
523	0.02671483713
524	0.02662618796
525	0.02655846508
526	0.02649583432
527	0.02643341453
528	0.02638778283
529	0.0263234265
530	0.02626861539
531	0.02620112153
532	0.02613374324
533	0.02606543631
534	0.02601196883
535	0.02597146121
536	0.02592833052
537	0.02583240398
538	0.02577957279
539	0.02572539817
540	0.02567361776
541	0.02559815515
542	0.02552012552
543	0.02547478687
544	0.02542576734
545	0.02541198912
546	0.0253517566
547	0.02530065431
548	0.02526481013
549	0.02520976864
550	0.02512627022
551	0.02506865164
552	0.02499064807
553	0.02494212653
554	0.02486615518
555	0.02477327406
556	0.0247175784
557	0.02465893815
558	0.02458914755
559	0.02452258998
560	0.02445211767
561	0.02440155075
562	0.02434879585
563	0.0242996889
